,year,#crashes,price,poverty,odometer
year,1.0,0.03342957802487325,0.012309043335417328,-0.00037081499272893624,-0.11886659405856223
#crashes,0.03342957802487325,1.0,-0.001995840537774687,0.2632178285116624,-0.03749473984167253
price,0.012309043335417328,-0.001995840537774687,1.0,-5.0022287775367316e-06,-0.01241903304912548
poverty,-0.00037081499272893624,0.2632178285116624,-5.0022287775367316e-06,1.0,-0.002610170581010542
odometer,-0.11886659405856223,-0.03749473984167253,-0.01241903304912548,-0.002610170581010542,1.0
