model,manufacturer,type,cylinders,size,drive
gl-class,mercedes-benz,SUV,8 cylinders,full-size,4wd
jetta s,volkswagen,sedan,4 cylinders,mid-size,fwd
transit van,ford,van,6 cylinders,full-size,rwd
jetta,volkswagen,wagon,4 cylinders,mid-size,fwd
f350,ford,truck,8 cylinders,full-size,4wd
xc-90,volvo,SUV,6 cylinders,mid-size,fwd
dart sxt,dodge,sedan,4 cylinders,mid-size,fwd
escape xlt 4x4,ford,SUV,6 cylinders,mid-size,4wd
civic lx-p,honda,coupe,4 cylinders,compact,fwd
4500 regular cab fltbd,ram,truck,6 cylinders,full-size,4wd
taurus sel awd,ford,sedan,6 cylinders,mid-size,4wd
tl-s,acura,sedan,6 cylinders,full-size,fwd
gx 460 premium,lexus,SUV,8 cylinders,full-size,4wd
camry xle,toyota,sedan,6 cylinders,mid-size,fwd
tahoe,chevrolet,SUV,6 cylinders,full-size,4wd
f-250 sd,ford,truck,8 cylinders,full-size,4wd
tundra sr5,toyota,truck,8 cylinders,full-size,rwd
impreza,subaru,hatchback,4 cylinders,mid-size,4wd
sentra sv,nissan,sedan,4 cylinders,mid-size,fwd
325i,bmw,sedan,6 cylinders,full-size,rwd
ion,saturn,sedan,4 cylinders,mid-size,fwd
jetta gls,volkswagen,sedan,4 cylinders,compact,fwd
savana cargo van,gmc,van,8 cylinders,full-size,4wd
express passenger,chevrolet,van,8 cylinders,full-size,4wd
is 200t,lexus,sedan,4 cylinders,compact,rwd
a4 quattro,audi,hatchback,4 cylinders,mid-size,4wd
equinox ls awd,chevrolet,SUV,6 cylinders,mid-size,4wd
titan se king cab,nissan,truck,8 cylinders,full-size,fwd
armada,nissan,SUV,8 cylinders,full-size,rwd
golf,volkswagen,hatchback,5 cylinders,compact,fwd
thunderbird,ford,convertible,8 cylinders,compact,rwd
mks,lincoln,sedan,4 cylinders,mid-size,fwd
"f-350 super duty xl, extend",ford,pickup,8 cylinders,full-size,rwd
pt cruiser convertible,chrysler,convertible,4 cylinders,mid-size,fwd
2500,ram,pickup,6 cylinders,full-size,rwd
f350 xl,ford,pickup,8 cylinders,full-size,4wd
tacoma,toyota,truck,4 cylinders,mid-size,rwd
f150 xlt,ford,truck,8 cylinders,mid-size,4wd
montana minivan,pontiac,mini-van,6 cylinders,full-size,fwd
eclipse,mitsubishi,convertible,4 cylinders,sub-compact,fwd
rx 350,lexus,SUV,6 cylinders,mid-size,fwd
equinox,chevrolet,SUV,4 cylinders,mid-size,4wd
charger se,dodge,sedan,6 cylinders,full-size,rwd
edge limited,ford,SUV,6 cylinders,mid-size,fwd
grand cherokee,jeep,SUV,8 cylinders,mid-size,4wd
p30 step van,chevrolet,truck,8 cylinders,full-size,4wd
impala ltz,chevrolet,sedan,6 cylinders,full-size,fwd
focus se,ford,sedan,4 cylinders,full-size,fwd
3 series 328i xdrive,bmw,sedan,6 cylinders,mid-size,4wd
f-550 crew cab drw 4wd,ford,truck,8 cylinders,full-size,4wd
explorer sport,ford,SUV,6 cylinders,full-size,4wd
pathfinder,nissan,SUV,6 cylinders,mid-size,fwd
spectra,kia,sedan,6 cylinders,full-size,rwd
town car signature,lincoln,sedan,8 cylinders,full-size,rwd
civic,honda,sedan,4 cylinders,mid-size,fwd
dakota st 4x4 crew cab,dodge,pickup,6 cylinders,mid-size,4wd
jetta sedan,volkswagen,sedan,4 cylinders,compact,fwd
benz 300sl,mercedes-benz,convertible,6 cylinders,mid-size,rwd
s40 2.4i,volvo,sedan,5 cylinders,mid-size,fwd
outlander sport es awd,mitsubishi,SUV,4 cylinders,full-size,4wd
rogue,nissan,SUV,4 cylinders,mid-size,4wd
century,buick,sedan,6 cylinders,full-size,fwd
f-150 supercab,ford,pickup,8 cylinders,full-size,4wd
town & country touring,chrysler,van,6 cylinders,full-size,fwd
jimmy sls 4x4 rust free,gmc,SUV,6 cylinders,full-size,4wd
grand cherokee,jeep,SUV,6 cylinders,full-size,4wd
3-series,bmw,sedan,4 cylinders,compact,rwd
sierra 1500,gmc,truck,6 cylinders,full-size,rwd
avalanche 2500,chevrolet,truck,8 cylinders,full-size,4wd
grand cherokee laredo,jeep,SUV,8 cylinders,mid-size,4wd
fiesta,ford,hatchback,4 cylinders,sub-compact,fwd
crv,honda,SUV,4 cylinders,full-size,4wd
f-350 super duty,ford,other,8 cylinders,full-size,4wd
montana,pontiac,mini-van,6 cylinders,mid-size,fwd
outlander sel loaded,mitsubishi,SUV,4 cylinders,full-size,fwd
nomad wagon,chevrolet,wagon,8 cylinders,full-size,rwd
m38,jeep,convertible,4 cylinders,mid-size,4wd
flex,ford,SUV,6 cylinders,mid-size,4wd
benz glk 350,mercedes-benz,SUV,6 cylinders,full-size,4wd
rabbit convertible,volkswagen,convertible,4 cylinders,compact,fwd
1500 classic,ram,truck,10 cylinders,full-size,4wd
forester,subaru,hatchback,4 cylinders,full-size,4wd
belair,chevrolet,sedan,8 cylinders,full-size,rwd
passat tdi se,volkswagen,sedan,4 cylinders,full-size,fwd
rx 300 luxury suv,lexus,SUV,6 cylinders,mid-size,4wd
wrangler x,jeep,SUV,6 cylinders,full-size,4wd
escape hybrid,ford,SUV,4 cylinders,mid-size,4wd
grand cherokee,jeep,other,6 cylinders,mid-size,4wd
wrangler sahara,jeep,SUV,6 cylinders,mid-size,4wd
crossfire,chrysler,hatchback,6 cylinders,sub-compact,rwd
camaro,chevrolet,hatchback,6 cylinders,mid-size,rwd
avenger,dodge,sedan,4 cylinders,mid-size,fwd
nv 200,nissan,van,4 cylinders,mid-size,fwd
challenger gt coupe 2d,dodge,coupe,6 cylinders,full-size,rwd
allante,cadillac,convertible,8 cylinders,full-size,fwd
expedition limited,ford,SUV,8 cylinders,full-size,rwd
elantra,hyundai,sedan,4 cylinders,mid-size,fwd
benz ml350,mercedes-benz,SUV,6 cylinders,full-size,fwd
escape xlt,ford,SUV,4 cylinders,mid-size,fwd
sierra allterrain 4wd,gmc,truck,8 cylinders,full-size,4wd
f-150 xlt supercrew 4x4,ford,pickup,6 cylinders,full-size,4wd
tucson,hyundai,SUV,4 cylinders,compact,fwd
sedona ex,kia,mini-van,6 cylinders,full-size,fwd
tl,acura,sedan,6 cylinders,full-size,fwd
corvette,chevrolet,convertible,8 cylinders,full-size,rwd
jetta,volkswagen,sedan,5 cylinders,compact,fwd
f-100,ford,pickup,8 cylinders,full-size,rwd
f150 lariat 4wd,ford,pickup,8 cylinders,full-size,4wd
tacoma,toyota,truck,6 cylinders,full-size,4wd
dakota slt,dodge,truck,10 cylinders,full-size,4wd
gti vr6 r32,volkswagen,hatchback,6 cylinders,compact,fwd
expess 3500 extended,chevrolet,van,8 cylinders,full-size,rwd
caprice,chevrolet,coupe,8 cylinders,full-size,rwd
encore preferred 2,buick,SUV,4 cylinders,compact,4wd
silverado 1500 ls,chevrolet,truck,8 cylinders,mid-size,4wd
ranger xlt extended cab,ford,pickup,6 cylinders,compact,rwd
benz c-350,mercedes-benz,sedan,6 cylinders,full-size,rwd
3 series 328xi,bmw,sedan,6 cylinders,mid-size,4wd
sierra 1500,gmc,pickup,8 cylinders,full-size,4wd
300 d,mercedes-benz,sedan,5 cylinders,full-size,rwd
explorer xlt,ford,SUV,6 cylinders,full-size,fwd
cobalt,chevrolet,coupe,4 cylinders,mid-size,fwd
z4,bmw,convertible,6 cylinders,compact,rwd
firebird trans am gta,pontiac,coupe,8 cylinders,mid-size,rwd
trax ls,chevrolet,SUV,4 cylinders,compact,fwd
mustang,ford,coupe,6 cylinders,compact,rwd
tundra 4wd truck sr5,toyota,pickup,8 cylinders,full-size,4wd
rav4 le awd,toyota,SUV,4 cylinders,sub-compact,4wd
cummins 3500 laramie,ram,pickup,6 cylinders,full-size,rwd
g37 convertible,infiniti,coupe,6 cylinders,compact,rwd
forrester,subaru,SUV,4 cylinders,mid-size,4wd
f-150 fx4,ford,truck,8 cylinders,full-size,4wd
q5 2.0t awd premium plus,audi,SUV,4 cylinders,mid-size,4wd
equinox ltz,chevrolet,SUV,6 cylinders,mid-size,fwd
escape limited,ford,SUV,6 cylinders,mid-size,fwd
chevelle ss 396,chevrolet,coupe,8 cylinders,full-size,rwd
eurovan,volkswagen,mini-van,6 cylinders,full-size,rwd
3500,ram,truck,10 cylinders,full-size,4wd
cherokee,jeep,SUV,4 cylinders,mid-size,4wd
q5 3.2 quattro premium,audi,SUV,4 cylinders,full-size,4wd
tacoma double cab 4x4,toyota,truck,6 cylinders,mid-size,fwd
accord ex-l,honda,sedan,4 cylinders,mid-size,fwd
benz e350,mercedes-benz,sedan,6 cylinders,compact,4wd
captiva,chevrolet,SUV,6 cylinders,full-size,fwd
b4000,mazda,pickup,6 cylinders,mid-size,4wd
super duty f-550 drw,ford,pickup,8 cylinders,full-size,4wd
f-250 super duty,ford,pickup,8 cylinders,full-size,rwd
ls 460,lexus,sedan,8 cylinders,mid-size,rwd
e-450,ford,truck,10 cylinders,full-size,rwd
jetta se,volkswagen,sedan,5 cylinders,mid-size,fwd
tacoma,toyota,pickup,6 cylinders,mid-size,rwd
sierra,gmc,pickup,8 cylinders,full-size,4wd
ls 430,lexus,sedan,8 cylinders,mid-size,rwd
wrangler,jeep,other,4 cylinders,mid-size,4wd
avalon,toyota,sedan,6 cylinders,full-size,fwd
qx60,infiniti,SUV,6 cylinders,full-size,4wd
equinox,chevrolet,SUV,4 cylinders,mid-size,fwd
sts,cadillac,sedan,8 cylinders,mid-size,rwd
forte lx,kia,sedan,4 cylinders,compact,fwd
durango,dodge,SUV,8 cylinders,mid-size,4wd
excursion eddie bauer,ford,truck,10 cylinders,full-size,4wd
eos,volkswagen,convertible,4 cylinders,mid-size,fwd
regal,buick,sedan,6 cylinders,mid-size,fwd
titan xd,nissan,pickup,8 cylinders,full-size,4wd
xk convertible,jaguar,coupe,8 cylinders,full-size,rwd
expedition,ford,SUV,8 cylinders,full-size,rwd
outlander,mitsubishi,SUV,4 cylinders,mid-size,4wd
murano sl awd,nissan,SUV,6 cylinders,full-size,4wd
cts sedan,cadillac,sedan,6 cylinders,mid-size,4wd
outlook,saturn,SUV,6 cylinders,mid-size,fwd
ranger xlt,ford,pickup,6 cylinders,mid-size,rwd
malibu lt,chevrolet,sedan,4 cylinders,mid-size,fwd
cts coupe awd,cadillac,coupe,6 cylinders,full-size,4wd
crown victoria police,ford,sedan,8 cylinders,full-size,rwd
dakota,dodge,pickup,6 cylinders,full-size,rwd
benz 450sl,mercedes-benz,convertible,8 cylinders,full-size,rwd
rx 330,lexus,SUV,6 cylinders,mid-size,4wd
f-250 king ranch 4wd,ford,truck,8 cylinders,full-size,4wd
envoy xl slt,gmc,SUV,6 cylinders,full-size,4wd
rav4,toyota,SUV,4 cylinders,compact,4wd
corolla s,toyota,sedan,4 cylinders,compact,fwd
ls600h l,lexus,sedan,8 cylinders,full-size,4wd
charger r/t,dodge,sedan,8 cylinders,mid-size,rwd
forester limited,subaru,SUV,4 cylinders,mid-size,4wd
tundra double cab trd,toyota,truck,8 cylinders,full-size,4wd
cj5,jeep,convertible,8 cylinders,compact,4wd
m37x,infiniti,sedan,6 cylinders,full-size,4wd
transit diesel,ford,pickup,6 cylinders,full-size,4wd
1500 silverado,chevrolet,pickup,8 cylinders,full-size,rwd
titan,nissan,truck,8 cylinders,full-size,4wd
edge titanium awd,ford,SUV,4 cylinders,mid-size,4wd
challenger srt-8,dodge,coupe,8 cylinders,full-size,rwd
grand cherokee,jeep,SUV,6 cylinders,mid-size,4wd
highlander,toyota,SUV,4 cylinders,full-size,fwd
tucson value awd,hyundai,SUV,4 cylinders,mid-size,4wd
528i,bmw,sedan,4 cylinders,mid-size,rwd
cooper,mini,coupe,4 cylinders,compact,fwd
a8 l quattro,audi,sedan,8 cylinders,full-size,4wd
m-class,mercedes-benz,SUV,10 cylinders,full-size,4wd
equinox,chevrolet,SUV,4 cylinders,compact,fwd
altima 2.5 sl,nissan,sedan,4 cylinders,compact,fwd
cobalt,chevrolet,coupe,4 cylinders,mid-size,4wd
300 s,chrysler,sedan,6 cylinders,full-size,rwd
wrangler unlimited,jeep,offroad,6 cylinders,full-size,4wd
premium sr5 4x4 4runner,toyota,SUV,4 cylinders,full-size,4wd
xf,jaguar,sedan,8 cylinders,full-size,rwd
civic ex,honda,sedan,4 cylinders,compact,fwd
econoline cargo van,ford,van,8 cylinders,mid-size,rwd
ls 460,lexus,sedan,8 cylinders,full-size,rwd
corolla,toyota,sedan,4 cylinders,mid-size,fwd
a3 quattro,audi,wagon,4 cylinders,mid-size,4wd
lesabre,buick,sedan,6 cylinders,mid-size,fwd
frontier crew cab,nissan,pickup,6 cylinders,mid-size,rwd
tundra trd off road,toyota,truck,8 cylinders,full-size,rwd
rav4 limited 3rd row,toyota,SUV,6 cylinders,mid-size,fwd
f150,ford,pickup,6 cylinders,full-size,4wd
camaro,chevrolet,coupe,4 cylinders,compact,rwd
accord sport sedan 4d se,honda,sedan,4 cylinders,full-size,fwd
tl,acura,sedan,6 cylinders,mid-size,fwd
sonata se,hyundai,sedan,4 cylinders,mid-size,fwd
envoy slt,gmc,SUV,6 cylinders,mid-size,rwd
murano le,nissan,SUV,6 cylinders,mid-size,4wd
f-150 fx4 4x4,ford,truck,8 cylinders,full-size,4wd
forester premium,subaru,SUV,4 cylinders,mid-size,4wd
c-max hybrid,ford,hatchback,4 cylinders,compact,fwd
durango limited,dodge,SUV,6 cylinders,full-size,rwd
cx7,mazda,SUV,4 cylinders,full-size,fwd
535i xdrive,bmw,sedan,6 cylinders,mid-size,4wd
fit sport,honda,wagon,4 cylinders,compact,fwd
navigator,lincoln,SUV,8 cylinders,full-size,fwd
acadia,gmc,SUV,6 cylinders,mid-size,fwd
golf,volkswagen,hatchback,4 cylinders,full-size,fwd
3500,ram,truck,other,full-size,4wd
element,honda,SUV,4 cylinders,full-size,fwd
f-250 super duty,ford,truck,8 cylinders,full-size,rwd
mustang,ford,coupe,8 cylinders,mid-size,rwd
1500,ram,pickup,8 cylinders,full-size,fwd
tacoma extended cab,toyota,pickup,6 cylinders,compact,rwd
mountaineer awd,mercury,SUV,6 cylinders,full-size,4wd
sierra 2500 hd,gmc,truck,8 cylinders,full-size,4wd
super duty f-350 srw,ford,pickup,8 cylinders,full-size,4wd
3,mazda,sedan,4 cylinders,mid-size,fwd
pilot exl,honda,SUV,6 cylinders,full-size,4wd
sierra 1500,gmc,truck,8 cylinders,full-size,rwd
passat se tdi,volkswagen,sedan,4 cylinders,mid-size,fwd
328i,bmw,sedan,6 cylinders,full-size,rwd
discovery sport,rover,SUV,4 cylinders,full-size,4wd
silverado hd,chevrolet,truck,8 cylinders,full-size,4wd
f-350 super duty lariat di,ford,truck,8 cylinders,full-size,4wd
superduty,ford,truck,8 cylinders,full-size,4wd
focus,ford,hatchback,4 cylinders,mid-size,fwd
e250 econoline,ford,other,6 cylinders,full-size,rwd
5 series 530i,bmw,sedan,6 cylinders,mid-size,rwd
silverado 2500 lt 4x4,chevrolet,pickup,8 cylinders,full-size,4wd
1500 4x4,ram,truck,8 cylinders,full-size,4wd
335i m,bmw,coupe,6 cylinders,compact,rwd
mkx,lincoln,SUV,6 cylinders,mid-size,fwd
lesabre custom,buick,sedan,6 cylinders,full-size,fwd
5 series 550i xdrive,bmw,sedan,8 cylinders,mid-size,fwd
wrx,subaru,sedan,4 cylinders,mid-size,4wd
a4 2.0t,audi,sedan,4 cylinders,mid-size,fwd
f-250sd,ford,truck,8 cylinders,full-size,4wd
2500 4x4,ram,pickup,6 cylinders,full-size,4wd
benz ml350,mercedes-benz,SUV,6 cylinders,mid-size,4wd
civic ex-l,honda,sedan,4 cylinders,mid-size,fwd
escape hybrid,ford,SUV,4 cylinders,compact,fwd
explorer limited,ford,SUV,6 cylinders,mid-size,4wd
2500 laramie,ram,truck,8 cylinders,full-size,4wd
accord ex,honda,sedan,4 cylinders,compact,fwd
charger,dodge,sedan,8 cylinders,mid-size,rwd
silverado,chevrolet,pickup,6 cylinders,full-size,rwd
f150,ford,pickup,8 cylinders,full-size,4wd
f-150,ford,truck,10 cylinders,full-size,4wd
outback,subaru,SUV,4 cylinders,mid-size,4wd
cts,cadillac,sedan,6 cylinders,mid-size,rwd
express 3500 cargo van,chevrolet,van,8 cylinders,full-size,rwd
g coupe,infiniti,coupe,6 cylinders,compact,rwd
impreza 2.0 sport premium,subaru,hatchback,4 cylinders,compact,4wd
f250 super duty crew cab,ford,truck,8 cylinders,full-size,4wd
dakota,dodge,truck,6 cylinders,compact,rwd
mustang,ford,coupe,8 cylinders,full-size,rwd
silverado 1500 4x4,chevrolet,truck,8 cylinders,full-size,4wd
2500 4x4 truck,ram,pickup,8 cylinders,full-size,4wd
escalade,cadillac,SUV,8 cylinders,full-size,4wd
altima 2.5,nissan,sedan,4 cylinders,mid-size,fwd
flex limited,ford,SUV,6 cylinders,full-size,fwd
fiesta,ford,hatchback,4 cylinders,mid-size,fwd
f-250 super duty,ford,pickup,8 cylinders,full-size,4wd
mirage g4 es,mitsubishi,sedan,3 cylinders,compact,fwd
transit connect xlt,ford,van,4 cylinders,compact,fwd
focus wagon,ford,wagon,4 cylinders,mid-size,fwd
tacoma prerunner v6,toyota,truck,6 cylinders,mid-size,rwd
escape xlt 4x4,ford,SUV,4 cylinders,mid-size,4wd
m3 sedan,bmw,sedan,8 cylinders,mid-size,rwd
outlander sport,mitsubishi,SUV,4 cylinders,full-size,4wd
corolla le,toyota,sedan,4 cylinders,mid-size,fwd
charger,dodge,sedan,6 cylinders,full-size,4wd
fj cruiser 4wd at,toyota,offroad,6 cylinders,full-size,4wd
3500,ram,truck,8 cylinders,full-size,4wd
camaro rs,chevrolet,coupe,6 cylinders,compact,rwd
echo,toyota,sedan,4 cylinders,mid-size,fwd
sonata gls,hyundai,sedan,6 cylinders,compact,fwd
polara 330 hemi,dodge,coupe,8 cylinders,full-size,rwd
tahoe 4x4,chevrolet,SUV,8 cylinders,full-size,4wd
hhr,chevrolet,sedan,4 cylinders,compact,fwd
f150,ford,truck,6 cylinders,full-size,rwd
sonata,hyundai,sedan,4 cylinders,full-size,fwd
elantra,hyundai,hatchback,4 cylinders,mid-size,4wd
titan xd,nissan,truck,8 cylinders,full-size,rwd
clk 320 coupe,mercedes-benz,coupe,6 cylinders,mid-size,rwd
e450 box truck/cube van,ford,truck,10 cylinders,full-size,rwd
impala premiere,chevrolet,sedan,6 cylinders,full-size,fwd
focus,ford,sedan,4 cylinders,mid-size,fwd
silverado 4 x 4,chevrolet,pickup,8 cylinders,full-size,4wd
elantra se,hyundai,sedan,4 cylinders,compact,fwd
freelander,land rover,SUV,6 cylinders,mid-size,4wd
focus sedan white,ford,sedan,4 cylinders,compact,fwd
rl,acura,sedan,6 cylinders,full-size,fwd
commander,jeep,SUV,6 cylinders,full-size,4wd
soul 1.6l,kia,SUV,4 cylinders,full-size,fwd
tundra,toyota,truck,8 cylinders,full-size,4wd
cobalt lt,chevrolet,sedan,4 cylinders,full-size,fwd
dakota st,dodge,truck,6 cylinders,full-size,rwd
cruze ls,chevrolet,sedan,4 cylinders,compact,fwd
willys,jeep,offroad,4 cylinders,full-size,4wd
benz clk 350,mercedes-benz,convertible,6 cylinders,mid-size,rwd
pt cruiser,chrysler,sedan,4 cylinders,compact,fwd
compass,jeep,SUV,4 cylinders,full-size,fwd
"f350 crew cab, 4wd",ford,truck,8 cylinders,full-size,4wd
monte carlo,chevrolet,coupe,8 cylinders,full-size,rwd
cl-class,mercedes-benz,coupe,8 cylinders,mid-size,rwd
f350 diesels powerstroke,ford,pickup,8 cylinders,full-size,4wd
impala lt,chevrolet,sedan,4 cylinders,full-size,fwd
super duty f-550 drw,ford,pickup,10 cylinders,full-size,4wd
sorento,kia,SUV,6 cylinders,full-size,fwd
impreza wrx sti,subaru,sedan,4 cylinders,mid-size,4wd
cherokee,jeep,SUV,4 cylinders,full-size,fwd
outback limited,subaru,wagon,4 cylinders,mid-size,4wd
focus se,ford,sedan,4 cylinders,mid-size,fwd
impreza wrx,subaru,hatchback,4 cylinders,compact,4wd
3 series,bmw,coupe,6 cylinders,sub-compact,rwd
sorrento,kia,truck,6 cylinders,full-size,fwd
silverado 1500 z71,chevrolet,truck,8 cylinders,full-size,4wd
g37 sedan journey,infiniti,sedan,6 cylinders,mid-size,fwd
civic ex,honda,sedan,4 cylinders,mid-size,fwd
1500 crew cab v8 4x4,ram,truck,8 cylinders,full-size,4wd
pathfinder se,nissan,SUV,6 cylinders,mid-size,4wd
1500 laramie,ram,truck,8 cylinders,full-size,4wd
eos lux,volkswagen,convertible,4 cylinders,compact,fwd
s60 turbo,volvo,sedan,5 cylinders,full-size,4wd
tacoma,toyota,pickup,6 cylinders,mid-size,4wd
ranger xlt 4x4,ford,pickup,6 cylinders,mid-size,4wd
camry hybrid,toyota,sedan,4 cylinders,full-size,fwd
rx330,lexus,SUV,6 cylinders,mid-size,4wd
f250 fx4 diesel 4x4,ford,pickup,8 cylinders,full-size,4wd
corvette,chevrolet,coupe,8 cylinders,full-size,rwd
2500 diesel,ram,pickup,6 cylinders,full-size,4wd
4 series,bmw,coupe,4 cylinders,sub-compact,4wd
forester 2.5i,subaru,wagon,4 cylinders,full-size,4wd
f550 4x4,ford,pickup,8 cylinders,full-size,4wd
es 350,lexus,sedan,6 cylinders,compact,fwd
2500 hd,chevrolet,pickup,8 cylinders,full-size,rwd
lacrosse cxs,buick,sedan,6 cylinders,full-size,fwd
ranger xlt,ford,pickup,4 cylinders,compact,rwd
eclipse,mitsubishi,coupe,6 cylinders,compact,fwd
330ci convertible,bmw,convertible,6 cylinders,compact,fwd
yukon xl 4wd,gmc,SUV,8 cylinders,full-size,4wd
2500 passenger,chevrolet,van,8 cylinders,full-size,rwd
pilot ex,honda,SUV,6 cylinders,full-size,rwd
rabbit,volkswagen,hatchback,4 cylinders,mid-size,fwd
rav4,toyota,SUV,4 cylinders,mid-size,fwd
forester 2.5x limited,subaru,SUV,4 cylinders,full-size,4wd
charger daytona r/t,dodge,sedan,8 cylinders,full-size,rwd
super duty f-350 srw,ford,truck,8 cylinders,full-size,4wd
journey sxt,dodge,SUV,6 cylinders,full-size,fwd
camaro,chevrolet,coupe,6 cylinders,full-size,fwd
tacoma prerunner v6,toyota,pickup,6 cylinders,mid-size,rwd
sierra,gmc,pickup,8 cylinders,full-size,rwd
civic lx,honda,coupe,4 cylinders,mid-size,fwd
santa fe,hyundai,SUV,4 cylinders,full-size,fwd
2500 quad cab slt pic,ram,truck,6 cylinders,full-size,4wd
sierra 2500,gmc,truck,8 cylinders,full-size,rwd
tl - new tires - sunroof - heated seats -,acura,sedan,6 cylinders,mid-size,fwd
wrangler unlimited sport,jeep,SUV,6 cylinders,full-size,4wd
shelby gt500,ford,coupe,8 cylinders,mid-size,4wd
mkx,lincoln,SUV,6 cylinders,mid-size,4wd
f350,ford,truck,10 cylinders,full-size,rwd
f-350 super duty,ford,pickup,8 cylinders,full-size,rwd
explorer,ford,SUV,8 cylinders,mid-size,rwd
matrix s,toyota,hatchback,4 cylinders,mid-size,fwd
outback 2.5i wagon,subaru,wagon,4 cylinders,mid-size,4wd
rx 350,lexus,SUV,6 cylinders,full-size,4wd
grand caravan crew,dodge,mini-van,6 cylinders,mid-size,rwd
gx460 awd-white,lexus,SUV,6 cylinders,full-size,4wd
sienna,toyota,mini-van,6 cylinders,full-size,4wd
acadia sle2 awd,gmc,SUV,6 cylinders,mid-size,4wd
f-450 sd,ford,truck,8 cylinders,full-size,4wd
fusion s,ford,sedan,6 cylinders,full-size,fwd
p30 step van,chevrolet,other,8 cylinders,mid-size,rwd
forte eco,kia,sedan,4 cylinders,compact,fwd
1500 slt,ram,pickup,8 cylinders,full-size,4wd
f-350 lairiat,ford,truck,8 cylinders,full-size,4wd
town & country touring,chrysler,mini-van,6 cylinders,full-size,fwd
escape titanium,ford,SUV,4 cylinders,full-size,4wd
pilot,honda,SUV,6 cylinders,full-size,4wd
f350 lariat 4x4 dually,ford,truck,8 cylinders,full-size,4wd
prius hybrid hatchback,toyota,hatchback,4 cylinders,compact,fwd
impala,chevrolet,sedan,4 cylinders,full-size,fwd
equinox lt,chevrolet,SUV,4 cylinders,compact,fwd
xterra,nissan,SUV,6 cylinders,mid-size,rwd
astra ( fully loaded),saturn,coupe,4 cylinders,full-size,fwd
impala,chevrolet,other,6 cylinders,mid-size,fwd
grand cherokee limited 4x4,jeep,offroad,8 cylinders,compact,4wd
cooper countryman s,mini,offroad,4 cylinders,mid-size,fwd
verano convenience package,buick,sedan,4 cylinders,mid-size,fwd
silverado 2500hd z71,chevrolet,truck,8 cylinders,full-size,4wd
civic coupe,honda,coupe,4 cylinders,compact,fwd
altima 2.5 s,nissan,sedan,4 cylinders,mid-size,fwd
fusion,ford,sedan,4 cylinders,compact,fwd
cts,cadillac,sedan,8 cylinders,full-size,rwd
patriot sport,jeep,SUV,4 cylinders,full-size,4wd
durango,dodge,other,8 cylinders,full-size,rwd
safari,gmc,mini-van,6 cylinders,mid-size,rwd
rendezvous,buick,van,6 cylinders,full-size,fwd
corvette,chevrolet,hatchback,8 cylinders,full-size,rwd
xlr,cadillac,convertible,8 cylinders,mid-size,rwd
charger r/t,dodge,sedan,8 cylinders,full-size,rwd
malibu hybrid,chevrolet,sedan,4 cylinders,full-size,fwd
lr2,rover,SUV,4 cylinders,full-size,4wd
forte,kia,sedan,4 cylinders,compact,fwd
pacifica,chrysler,van,6 cylinders,full-size,4wd
g6,pontiac,sedan,4 cylinders,mid-size,fwd
model s,tesla,hatchback,10 cylinders,compact,4wd
colorado work truck,chevrolet,pickup,4 cylinders,mid-size,fwd
silverado 2500hd,chevrolet,truck,8 cylinders,full-size,rwd
fusion,ford,sedan,6 cylinders,mid-size,fwd
300c awd hemi,chrysler,sedan,8 cylinders,full-size,4wd
tundra,toyota,pickup,8 cylinders,full-size,rwd
challenger r/t hemi,dodge,coupe,8 cylinders,mid-size,rwd
avalanche,chevrolet,truck,8 cylinders,full-size,4wd
grand caravan se,dodge,mini-van,6 cylinders,full-size,fwd
328xi,bmw,sedan,6 cylinders,compact,4wd
echo,toyota,sedan,4 cylinders,compact,fwd
mountaineer,mercury,SUV,8 cylinders,full-size,4wd
f-450 sd,ford,truck,8 cylinders,full-size,rwd
civic sdn,honda,sedan,4 cylinders,sub-compact,fwd
liberty 4x4,jeep,SUV,6 cylinders,full-size,4wd
town and country,chrysler,mini-van,6 cylinders,mid-size,fwd
300 limited,chrysler,sedan,6 cylinders,full-size,fwd
transit cargo van,ford,van,6 cylinders,full-size,rwd
wrangler 4wd,jeep,offroad,6 cylinders,mid-size,4wd
f250 fx diesel 4x4,ford,truck,8 cylinders,full-size,4wd
evoque,rover,SUV,4 cylinders,mid-size,4wd
f350 super duty 4x4,ford,truck,8 cylinders,full-size,4wd
mk2,jaguar,sedan,8 cylinders,compact,rwd
explorer xlt,ford,SUV,8 cylinders,full-size,4wd
envoy,gmc,SUV,8 cylinders,mid-size,rwd
fiesta se,ford,sedan,4 cylinders,mid-size,fwd
2500 laramie 4x4,ram,truck,6 cylinders,full-size,4wd
terrain,gmc,SUV,4 cylinders,compact,4wd
cooper paceman,mini,coupe,4 cylinders,sub-compact,fwd
sierra 1500 sle 4x4,gmc,truck,8 cylinders,full-size,4wd
lancer es,mitsubishi,sedan,4 cylinders,mid-size,fwd
camaro ss 1le,chevrolet,coupe,8 cylinders,compact,rwd
forte koup,kia,coupe,4 cylinders,mid-size,fwd
6 s,mazda,sedan,4 cylinders,full-size,fwd
mdx,acura,SUV,6 cylinders,full-size,fwd
2500 4x4,ram,truck,8 cylinders,full-size,4wd
beetle,volkswagen,sedan,4 cylinders,compact,rwd
sienna le awd,toyota,van,6 cylinders,full-size,4wd
civic ex coupe 2d,honda,coupe,4 cylinders,mid-size,fwd
